Sacralisation;1;SAG;1;1;999;fais appels a la puissance de la lumière pour purifier l'ennemis, inflige SAG/2 DM, cout 5 PM.;degat;17;
Soint sacré;1;SAG;1;1;0;fais appels a la puissance de la lumière pour restauré votre corps, soigne SAG/2 PV, cout 5 PM.;soint;18;
deferlement de lumière;2;SAG;2;999;fais appels a la puissance de la lumière pour attaqué 2 fois l'ennemis, inflige SAG/2 DM, cout 10 PM.;degat;19;
Sacralisation;2;SAG;1;1;999;fais appels a la puissance de la lumière pour purifier l'ennemis, inflige SAG DM, cout 10 PM.;degat;17;
Soint sacré;2;SAG;1;1;0;fais appels a la puissance de la lumière pour restauré votre corps, soigne SAG PV, cout 10 PM.;soint;18;
deferlement de lumière;3;SAG;3;999;fais appels a la puissance de la lumière pour attaqué 3 fois l'ennemis, inflige SAG/2 DM, cout 15 PM.;degat;19;
Sacralisation;3;SAG;1;1;999;fais appels a la puissance de la lumière pour purifier l'ennemis, inflige SAGx1.5 DM, cout 15 PM.;degat;17;
Soint sacré;3;SAG;1;1;0;fais appels a la puissance de la lumière pour restauré votre corps, soigne SAGx1.5 PV, cout 15 PM.;soint;18;
deferlement de lumière;4;SAG;4;999;fais appels a la puissance de la lumière pour attaqué 4 fois l'ennemis, inflige SAG/2 DM, cout 20 PM.;degat;19;
Sacralisation;4;SAG;1;1;999;fais appels a la puissance de la lumière pour purifier l'ennemis, inflige SAGx2 DM, cout 20 PM.;degat;17;
Soint sacré;4;SAG;1;1;0;fais appels a la puissance de la lumière pour restauré votre corps, soigne SAGx2 PV, cout 20 PM.;soint;18;
deferlement de lumière;5;SAG;5;999;fais appels a la puissance de la lumière pour attaqué 5 fois l'ennemis, inflige SAG/2 DM, cout 25 PM.;degat;19;
Sacralisation;5;SAG;1;1;999;fais appels a la puissance de la lumière pour purifier l'ennemis, inflige SAGx2.5 DM, cout 25 PM.;degat;17;
Soint sacré;5;SAG;1;1;0;fais appels a la puissance de la lumière pour restauré votre corps, soigne SAGx2.5 PV, cout 25 PM.;soint;18;
deferlement de lumière;6;SAG;6;999;fais appels a la puissance de la lumière pour attaqué 6 fois l'ennemis, inflige SAG/2 DM, cout 30 PM.;degat;19;
Sacralisation;6;SAG;1;1;999;fais appels a la puissance de la lumière pour purifier l'ennemis, inflige SAGx3 DM, cout 30 PM.;degat;17;
Soint sacré;6;SAG;1;1;0;fais appels a la puissance de la lumière pour restauré votre corps, soigne SAGx3 PV, cout 30 PM.;soint;18;
deferlement de lumière;7;SAG;7;999;fais appels a la puissance de la lumière pour attaqué 7 fois l'ennemis, inflige SAG/2 DM, cout 35 PM.;degat;19;
Sacralisation;7;SAG;1;1;999;fais appels a la puissance de la lumière pour purifier l'ennemis, inflige SAGx3.5 DM, cout 35 PM.;degat;17;
Soint sacré;7;SAG;1;1;0;fais appels a la puissance de la lumière pour restauré votre corps, soigne SAGx3.5 PV, cout 35 PM.;soint;18;
deferlement de lumière;8;SAG;8;999;fais appels a la puissance de la lumière pour attaqué 8 fois l'ennemis, inflige SAG/2 DM, cout 40 PM.;degat;19;
Sacralisation;8;SAG;1;1;999;fais appels a la puissance de la lumière pour purifier l'ennemis, inflige SAGx4 DM, cout 40 PM.;degat;17;
Soint sacré;8;SAG;1;1;0;fais appels a la puissance de la lumière pour restauré votre corps, soigne SAGx4 PV, cout 40 PM.;soint;18;
deferlement de lumière;9;SAG;9;999;fais appels a la puissance de la lumière pour attaqué 9 fois l'ennemis, inflige SAG/2 DM, cout 45 PM.;degat;19;
Sacralisation;9;SAG;1;1;999;fais appels a la puissance de la lumière pour purifier l'ennemis, inflige SAGx4.5 DM, cout 45 PM.;degat;17;
Soint sacré;9;SAG;1;1;0;fais appels a la puissance de la lumière pour restauré votre corps, soigne SAGx4.5 PV, cout 45 PM.;soint;18;
